,,"County subdivisions not defined, Cook County, Illinois",,,"Barrington township, Cook County, Illinois","Berwyn township, Cook County, Illinois","Bloom township, Cook County, Illinois","Bremen township, Cook County, Illinois","Calumet township, Cook County, Illinois","Chicago city, Cook County, Illinois","Cicero township, Cook County, Illinois","Elk Grove township, Cook County, Illinois","Evanston township, Cook County, Illinois","Hanover township, Cook County, Illinois","Lemont township, Cook County, Illinois","Leyden township, Cook County, Illinois","Lyons township, Cook County, Illinois","Maine township, Cook County, Illinois","New Trier township, Cook County, Illinois","Niles township, Cook County, Illinois","Northfield township, Cook County, Illinois","Norwood Park township, Cook County, Illinois","Oak Park township, Cook County, Illinois","Orland township, Cook County, Illinois","Palatine township, Cook County, Illinois","Palos township, Cook County, Illinois","Proviso township, Cook County, Illinois","Rich township, Cook County, Illinois","River Forest township, Cook County, Illinois","Riverside township, Cook County, Illinois","Schaumburg township, Cook County, Illinois","Stickney township, Cook County, Illinois","Thornton township, Cook County, Illinois","Wheeling township, Cook County, Illinois","Worth township, Cook County, Illinois","Addison township, DuPage County, Illinois","Bloomingdale township, DuPage County, Illinois","Chicago city, DuPage County, Illinois","Downers Grove township, DuPage County, Illinois","Lisle township, DuPage County, Illinois","Milton township, DuPage County, Illinois","Naperville township, DuPage County, Illinois","Wayne township, DuPage County, Illinois","Winfield township, DuPage County, Illinois","York township, DuPage County, Illinois"
    Eastern Asia:,,0,,,373,185,84,219,0,"34,406",110,"2,874","1,340",740,47,298,297,"2,796","1,584","4,677","4,471",87,515,639,"3,152",98,465,220,119,179,"4,459",58,260,"2,707",350,602,"1,149",0,"2,540","2,655","1,067","2,165",506,243,"1,066"
      China:,,0,,,160,107,38,71,0,"21,725",37,777,767,385,25,151,230,570,577,"1,277",799,27,269,257,"1,081",16,264,99,62,105,"1,270",24,179,670,160,209,550,0,"1,772","2,044",357,"1,575",207,181,607
"        China, excluding Hong Kong and Taiwan",,0,,,70,107,18,46,0,"17,299",37,621,406,256,25,117,199,342,401,791,282,5,233,224,766,8,195,66,43,105,810,15,121,406,137,101,370,0,"1,154","1,184",176,986,114,92,310
        Hong Kong,,0,,,15,0,8,6,0,"2,837",0,49,143,30,0,26,6,110,51,209,179,22,16,15,91,8,35,6,7,0,119,0,24,70,0,21,33,0,184,119,52,221,43,0,38
        Taiwan,,0,,,75,0,12,19,0,"1,589",0,107,218,99,0,8,25,118,125,277,338,0,20,18,224,0,34,27,12,0,341,9,34,194,23,87,147,0,434,741,129,368,50,89,259
      Japan,,0,,,38,38,11,31,0,"2,345",0,922,224,157,0,33,22,110,286,130,339,17,145,31,"1,019",15,92,55,23,23,"1,143",4,22,695,55,125,158,0,116,127,83,117,27,8,110
      Korea,,0,,,175,16,35,117,0,"10,167",73,"1,175",342,198,22,114,45,"2,116",721,"3,270","3,329",43,101,351,"1,052",67,109,66,34,51,"2,046",30,59,"1,342",131,268,435,0,652,441,609,465,272,54,341
      Other Eastern Asia,,0,,,0,24,0,0,0,169,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,43,18,8,0,0,8
    South Central Asia:,,0,,,354,87,242,558,0,"27,297",106,"4,095",924,"1,863",37,947,519,"6,480",417,"5,489","1,256",145,681,598,"3,220",583,"1,082",357,73,74,"6,747",101,282,"3,100",378,"2,490","5,269",0,"4,451","3,427","2,348","2,707","2,303",250,"3,501"
      Afghanistan,,0,,,0,10,12,0,0,285,0,8,0,0,0,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,97
      Bangladesh,,0,,,3,0,0,0,0,835,0,5,11,13,0,0,0,21,5,33,45,0,0,0,63,0,0,0,7,0,2,0,20,66,0,8,45,0,27,17,10,38,0,0,62
      India,,0,,,222,27,166,332,0,"15,486",95,"3,784",601,"1,401",37,818,198,"5,729",228,"4,018",758,126,594,466,"2,437",476,872,284,29,74,"5,719",35,180,"2,625",272,"2,006","4,266",0,"3,825","2,869","1,924","2,363","1,837",250,"2,405"
      Iran,,0,,,89,5,49,46,0,"1,574",5,75,119,77,0,48,67,183,98,456,256,3,9,11,133,0,12,20,29,0,224,13,26,186,23,31,119,0,216,66,27,158,6,0,225
      Pakistan,,0,,,40,45,15,180,0,"8,740",6,199,193,361,0,68,254,518,61,839,169,16,54,97,559,98,123,53,0,0,753,53,56,202,80,440,818,0,324,471,327,121,443,0,668
      Other South Central Asia,,0,,,0,0,0,0,0,377,0,24,0,11,0,13,0,29,21,107,28,0,24,24,28,9,75,0,8,0,49,0,0,21,3,5,21,0,59,4,49,27,17,0,44
    South Eastern Asia:,,0,,,139,763,249,420,0,"36,693",459,"1,116",626,"2,196",19,"1,210",480,"3,060",417,"4,866",693,364,579,949,"1,455",529,"1,273",398,118,111,"2,124",265,441,"1,853",775,853,"3,833",0,"2,385","1,483","1,891","1,015","1,557",344,"1,320"
      Cambodia,,0,,,0,0,0,0,0,"1,601",34,0,0,4,0,19,0,59,0,86,0,0,0,18,8,0,0,0,0,0,14,0,0,37,9,0,71,0,0,42,102,0,116,32,0
      Indonesia,,0,,,0,0,0,7,0,503,0,44,31,15,0,14,0,4,2,127,19,4,11,0,55,26,7,0,0,0,43,0,0,113,0,0,12,0,51,89,9,86,5,0,20
      Laos,,0,,,12,0,16,0,0,392,0,19,6,439,0,0,0,28,0,37,0,0,0,0,39,0,43,22,0,0,54,0,12,45,0,36,51,0,0,0,18,41,0,0,0
      Malaysia,,0,,,0,0,0,0,0,495,0,36,31,46,0,0,21,12,9,43,0,5,15,0,75,0,0,0,0,0,86,0,0,25,5,34,19,0,35,55,31,51,0,0,36
      Philippines,,0,,,113,622,168,395,0,"22,678",393,766,420,"1,410",19,950,359,"2,611",260,"3,660",582,304,374,750,"1,026",452,"1,016",346,118,111,"1,631",145,226,"1,223",436,694,"2,620",0,"2,096","1,137",971,572,"1,178",216,963
      Thailand,,0,,,7,33,7,0,0,"2,222",20,20,57,106,0,58,13,146,110,417,31,42,107,102,54,37,79,20,0,0,63,66,40,43,129,0,42,0,98,58,90,36,51,0,63
      Vietnam,,0,,,7,108,50,18,0,"8,072",12,194,21,142,0,160,87,131,23,464,43,9,64,58,183,14,128,10,0,0,194,53,163,289,171,69,"1,018",0,78,77,618,221,153,88,203
      Other South Eastern Asia,,0,,,0,0,8,0,0,730,0,37,60,34,0,9,0,69,13,32,18,0,8,21,15,0,0,0,0,0,39,1,0,78,25,20,0,0,27,25,52,8,54,8,35
    Western Asia:,,0,,,11,227,27,237,3,"13,177",145,634,326,464,0,416,800,"1,433",175,"3,220",456,109,214,429,345,792,176,42,21,46,751,617,219,585,"1,546",187,394,0,367,415,287,237,78,36,350
      Iraq,,0,,,0,28,0,10,0,"5,133",0,277,22,155,0,31,23,784,0,"1,923",67,18,0,13,48,10,8,0,0,0,145,0,33,150,68,0,19,0,7,16,49,65,17,0,4
      Israel,,0,,,0,15,12,16,3,"1,599",21,50,127,0,0,28,167,80,67,309,105,21,87,121,26,28,10,25,0,0,53,186,33,81,366,34,19,0,0,21,33,12,31,0,55
      Jordan,,0,,,11,82,4,195,0,"1,484",90,62,0,0,0,106,324,265,5,125,22,26,30,211,18,295,0,0,0,0,104,312,111,114,701,12,175,0,36,35,8,7,0,14,28
      Lebanon,,0,,,0,0,0,0,0,868,0,61,16,20,0,29,32,86,25,169,13,10,11,17,18,48,10,0,12,38,111,39,22,6,70,47,6,0,93,100,43,38,0,0,70
      Syria,,0,,,0,36,0,0,0,"1,611",8,99,0,262,0,124,7,54,0,474,86,6,24,19,46,152,35,0,0,8,103,0,0,20,112,42,12,0,88,79,27,8,8,0,92
      Turkey,,0,,,0,20,4,7,0,922,0,31,134,19,0,52,101,103,50,85,99,0,26,14,91,20,22,5,9,0,119,0,20,61,18,22,103,0,20,93,55,41,5,14,25
      Armenia,,0,,,0,0,0,0,0,28,0,0,5,0,0,11,0,0,0,6,11,0,0,0,0,0,0,0,0,0,8,0,0,16,0,0,0,0,25,0,22,18,7,0,0
      Other Western Asia,,0,,,0,46,7,9,0,"1,532",26,54,22,8,0,35,146,61,28,129,53,28,36,34,98,239,91,12,0,0,108,80,0,137,211,30,60,0,98,71,50,48,10,8,76
"    Asia, n.e.c.",,0,,,0,63,15,16,0,"1,359",45,0,15,18,0,90,240,54,0,93,26,14,25,283,6,233,6,6,0,0,76,303,10,14,683,10,0,0,0,44,0,48,12,20,32
  Africa:,,0,,,27,83,161,297,49,"12,613",0,240,425,36,0,80,179,342,52,349,155,0,373,40,380,112,417,390,29,14,367,45,811,299,134,82,168,0,658,347,340,362,167,52,218
    Eastern Africa:,,0,,,7,0,0,36,0,"2,146",0,73,115,30,0,7,42,113,12,78,35,0,74,9,69,0,92,79,0,0,122,13,41,76,37,37,57,0,164,66,143,65,132,12,64
      Ethiopia,,0,,,0,0,0,0,0,938,0,9,44,0,0,0,0,0,0,22,7,0,18,0,3,0,26,55,0,0,7,0,0,0,15,0,0,0,8,0,27,6,0,0,0
      Other Eastern Africa,,0,,,7,0,0,36,0,"1,208",0,64,71,30,0,7,42,113,12,56,28,0,56,9,66,0,66,24,0,0,115,13,41,76,22,37,57,0,156,66,116,59,132,12,64
