country,,,"County subdivisions not defined, Cook County, Illinois",,,,"Barrington township, Cook County, Illinois",,"Berwyn township, Cook County, Illinois",,"Bloom township, Cook County, Illinois",,"Bremen township, Cook County, Illinois",,"Calumet township, Cook County, Illinois",,"Chicago city, Cook County, Illinois",,"Cicero township, Cook County, Illinois",,"Elk Grove township, Cook County, Illinois",,"Evanston township, Cook County, Illinois",,"Hanover township, Cook County, Illinois",,"Lemont township, Cook County, Illinois",,"Leyden township, Cook County, Illinois",,"Lyons township, Cook County, Illinois",,"Maine township, Cook County, Illinois",,"New Trier township, Cook County, Illinois",,"Niles township, Cook County, Illinois",,"Northfield township, Cook County, Illinois",,"Norwood Park township, Cook County, Illinois",,"Oak Park township, Cook County, Illinois",,"Orland township, Cook County, Illinois",,"Palatine township, Cook County, Illinois",,"Palos township, Cook County, Illinois",,"Proviso township, Cook County, Illinois",,"Rich township, Cook County, Illinois",,"River Forest township, Cook County, Illinois",,"Riverside township, Cook County, Illinois",,"Schaumburg township, Cook County, Illinois",,"Stickney township, Cook County, Illinois",,"Thornton township, Cook County, Illinois",,"Wheeling township, Cook County, Illinois",,"Worth township, Cook County, Illinois",
      Greece,,,0,,,+/-89,175,+/-128,85,+/-68,21,+/-25,68,+/-67,0,+/-89,"2,902",+/-475,0,+/-89,336,+/-136,61,+/-40,67,+/-66,27,+/-36,431,+/-201,53,+/-42,"1,118",+/-280,62,+/-47,"1,316",+/-297,458,+/-190,348,+/-132,23,+/-21,532,+/-227,191,+/-102,715,+/-262,154,+/-105,0,+/-89,0,+/-89,61,+/-51,230,+/-122,214,+/-133,32,+/-33,430,+/-185,603,+/-191
      Italy,,,0,,,+/-89,45,+/-42,192,+/-99,217,+/-138,48,+/-39,124,+/-91,"4,094",+/-456,80,+/-63,406,+/-139,69,+/-52,220,+/-125,26,+/-29,"1,451",+/-270,168,+/-64,"1,001",+/-242,59,+/-50,190,+/-120,292,+/-147,953,+/-256,98,+/-67,210,+/-109,231,+/-112,224,+/-98,620,+/-172,33,+/-38,43,+/-46,43,+/-41,362,+/-184,109,+/-91,40,+/-46,617,+/-243,333,+/-137
      Portugal,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,119,+/-85,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,15,+/-24,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,11,+/-17,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,37,+/-32,0,+/-89
      Spain,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,47,+/-53,0,+/-89,740,+/-227,0,+/-89,10,+/-16,109,+/-87,11,+/-18,0,+/-89,0,+/-89,0,+/-89,43,+/-39,21,+/-32,27,+/-30,45,+/-55,0,+/-89,21,+/-24,0,+/-89,0,+/-89,40,+/-49,7,+/-13,0,+/-89,18,+/-27,0,+/-89,54,+/-72,19,+/-30,11,+/-17,27,+/-25,14,+/-23
      Other Southern Europe,,,0,,,+/-89,0,+/-89,0,+/-89,36,+/-59,0,+/-89,0,+/-89,20,+/-32,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,8,+/-15,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
    Eastern Europe:,,,0,,,+/-89,157,+/-103,507,+/-191,332,+/-191,914,+/-353,1,+/-8,"77,710","+/-2,968",516,+/-182,"8,616",+/-912,"1,132",+/-266,"2,586",+/-490,"1,484",+/-400,"12,122","+/-1,035","5,952",+/-767,"13,856","+/-1,167","1,324",+/-268,"9,129",+/-920,"5,657",+/-661,"5,027",+/-711,747,+/-247,"2,914",+/-593,"5,131",+/-700,"4,830",+/-699,"1,657",+/-340,200,+/-184,129,+/-67,427,+/-208,"4,686",+/-651,"5,798",+/-793,458,+/-164,"14,498","+/-1,300","5,669",+/-795
      Albania,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,884,+/-341,41,+/-65,193,+/-165,0,+/-89,0,+/-89,0,+/-89,225,+/-183,0,+/-89,82,+/-85,18,+/-27,36,+/-56,0,+/-89,82,+/-103,0,+/-89,0,+/-89,114,+/-97,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,50,+/-76,0,+/-89,0,+/-89,58,+/-77,0,+/-89
      Belarus,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,921,+/-271,0,+/-89,48,+/-64,72,+/-52,0,+/-89,12,+/-21,22,+/-26,0,+/-89,205,+/-163,19,+/-27,477,+/-353,505,+/-170,0,+/-89,29,+/-43,14,+/-22,61,+/-54,0,+/-89,15,+/-27,0,+/-89,0,+/-89,0,+/-89,63,+/-74,0,+/-89,0,+/-89,919,+/-311,0,+/-89
      Bulgaria,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,92,+/-91,0,+/-89,"2,825",+/-599,22,+/-44,"1,323",+/-452,54,+/-66,19,+/-21,0,+/-89,622,+/-253,14,+/-21,627,+/-284,127,+/-121,376,+/-227,351,+/-199,124,+/-154,27,+/-36,12,+/-20,614,+/-303,36,+/-41,0,+/-89,0,+/-89,0,+/-89,38,+/-60,204,+/-173,0,+/-89,15,+/-25,"1,000",+/-321,50,+/-53
      Croatia,,,0,,,+/-89,0,+/-89,0,+/-89,53,+/-81,50,+/-82,0,+/-89,881,+/-218,0,+/-89,125,+/-91,24,+/-28,13,+/-21,49,+/-56,16,+/-26,187,+/-124,93,+/-65,27,+/-31,230,+/-113,97,+/-111,96,+/-102,30,+/-33,73,+/-70,15,+/-19,86,+/-84,28,+/-28,18,+/-23,0,+/-89,0,+/-89,94,+/-86,15,+/-24,53,+/-56,82,+/-54,73,+/-51
