country,,,"County subdivisions not defined, Cook County, Illinois",,,,"Barrington township, Cook County, Illinois",,"Berwyn township, Cook County, Illinois",,"Bloom township, Cook County, Illinois",,"Bremen township, Cook County, Illinois",,"Calumet township, Cook County, Illinois",,"Chicago city, Cook County, Illinois",,"Cicero township, Cook County, Illinois",,"Elk Grove township, Cook County, Illinois",,"Evanston township, Cook County, Illinois",,"Hanover township, Cook County, Illinois",,"Lemont township, Cook County, Illinois",,"Leyden township, Cook County, Illinois",,"Lyons township, Cook County, Illinois",,"Maine township, Cook County, Illinois",,"New Trier township, Cook County, Illinois",,"Niles township, Cook County, Illinois",,"Northfield township, Cook County, Illinois",,"Norwood Park township, Cook County, Illinois",,"Oak Park township, Cook County, Illinois",,"Orland township, Cook County, Illinois",,"Palatine township, Cook County, Illinois",,"Palos township, Cook County, Illinois",,"Proviso township, Cook County, Illinois",,"Rich township, Cook County, Illinois",,"River Forest township, Cook County, Illinois",,"Riverside township, Cook County, Illinois",,"Schaumburg township, Cook County, Illinois",,"Stickney township, Cook County, Illinois",,"Thornton township, Cook County, Illinois",,"Wheeling township, Cook County, Illinois",,"Worth township, Cook County, Illinois",
      Other Northern Africa,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,56,+/-103,0,+/-89,665,+/-319,0,+/-89,69,+/-85,0,+/-89,0,+/-89,0,+/-89,17,+/-26,0,+/-89,8,+/-17,15,+/-25,0,+/-89,0,+/-89,0,+/-89,27,+/-46,0,+/-89,0,+/-89,9,+/-16,33,+/-37,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,91,+/-92
    Southern Africa:,,,0,,,+/-89,38,+/-42,135,+/-153,0,+/-89,0,+/-89,7,+/-11,587,+/-181,0,+/-89,0,+/-89,25,+/-29,81,+/-76,0,+/-89,0,+/-89,0,+/-89,0,+/-89,38,+/-37,51,+/-60,194,+/-113,0,+/-89,32,+/-33,16,+/-26,96,+/-87,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,15,+/-23,0,+/-89,0,+/-89,15,+/-29,0,+/-89
      South Africa,,,0,,,+/-89,38,+/-42,135,+/-153,0,+/-89,0,+/-89,0,+/-89,560,+/-181,0,+/-89,0,+/-89,25,+/-29,81,+/-76,0,+/-89,0,+/-89,0,+/-89,0,+/-89,38,+/-37,51,+/-60,194,+/-113,0,+/-89,32,+/-33,16,+/-26,96,+/-87,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,15,+/-23,0,+/-89,0,+/-89,15,+/-29,0,+/-89
      Other Southern Africa,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,7,+/-11,27,+/-31,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
    Western Africa:,,,0,,,+/-89,0,+/-89,74,+/-118,186,+/-133,454,+/-251,68,+/-48,"10,115",+/-878,0,+/-89,78,+/-89,210,+/-139,62,+/-68,0,+/-89,11,+/-18,156,+/-168,219,+/-254,20,+/-31,231,+/-192,19,+/-29,0,+/-89,101,+/-99,75,+/-90,153,+/-119,0,+/-89,248,+/-122,461,+/-211,0,+/-89,0,+/-89,377,+/-234,0,+/-89,"1,036",+/-349,12,+/-19,23,+/-25
      Cape Verde,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,7,+/-12,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
      Ghana,,,0,,,+/-89,0,+/-89,0,+/-89,55,+/-84,19,+/-24,0,+/-89,"2,908",+/-476,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,20,+/-31,0,+/-89,19,+/-29,0,+/-89,17,+/-27,75,+/-90,29,+/-45,0,+/-89,37,+/-46,150,+/-115,0,+/-89,0,+/-89,149,+/-168,0,+/-89,125,+/-109,0,+/-89,0,+/-89
      Liberia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,30,+/-51,14,+/-21,480,+/-212,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,21,+/-34,0,+/-89,0,+/-89,0,+/-89,0,+/-89,33,+/-52,0,+/-89,50,+/-63,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
      Nigeria,,,0,,,+/-89,0,+/-89,74,+/-118,101,+/-91,388,+/-239,25,+/-26,"4,829",+/-740,0,+/-89,33,+/-54,210,+/-139,62,+/-68,0,+/-89,11,+/-18,83,+/-121,219,+/-254,0,+/-89,118,+/-96,0,+/-89,0,+/-89,84,+/-96,0,+/-89,80,+/-88,0,+/-89,100,+/-84,279,+/-176,0,+/-89,0,+/-89,88,+/-69,0,+/-89,833,+/-313,12,+/-19,11,+/-16
      Sierra Leone,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,241,+/-184,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,73,+/-136,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,65,+/-102,0,+/-89,32,+/-51,0,+/-89,0,+/-89
      Other Western Africa,,,0,,,+/-89,0,+/-89,0,+/-89,30,+/-44,17,+/-23,29,+/-32,"1,650",+/-455,0,+/-89,45,+/-70,0,+/-89,0,+/-89,0,+/-89,0,+/-89,73,+/-120,0,+/-89,0,+/-89,19,+/-34,0,+/-89,0,+/-89,0,+/-89,0,+/-89,11,+/-19,0,+/-89,61,+/-56,32,+/-60,0,+/-89,0,+/-89,75,+/-78,0,+/-89,46,+/-42,0,+/-89,12,+/-19
"    Africa, n.e.c.",,,0,,,+/-89,0,+/-89,0,+/-89,52,+/-72,0,+/-89,16,+/-23,"2,435",+/-828,0,+/-89,17,+/-27,0,+/-89,11,+/-19,0,+/-89,0,+/-89,0,+/-89,16,+/-25,0,+/-89,33,+/-49,0,+/-89,0,+/-89,60,+/-69,11,+/-18,0,+/-89,0,+/-89,119,+/-145,218,+/-147,51,+/-85,0,+/-89,75,+/-71,0,+/-89,81,+/-76,0,+/-89,10,+/-15
  Oceania:,,,0,,,+/-89,0,+/-89,0,+/-89,17,+/-30,0,+/-89,0,+/-89,"1,097",+/-283,12,+/-19,11,+/-13,71,+/-53,0,+/-89,0,+/-89,19,+/-32,73,+/-66,74,+/-60,12,+/-14,92,+/-69,70,+/-76,0,+/-89,12,+/-18,43,+/-40,24,+/-27,8,+/-14,0,+/-89,0,+/-89,0,+/-89,0,+/-89,109,+/-89,0,+/-89,0,+/-89,48,+/-46,7,+/-10
    Australia and New Zealand Subregion:,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,"1,000",+/-253,12,+/-19,11,+/-13,71,+/-53,0,+/-89,0,+/-89,18,+/-30,73,+/-66,57,+/-54,12,+/-14,92,+/-69,70,+/-76,0,+/-89,12,+/-18,43,+/-40,24,+/-27,8,+/-14,0,+/-89,0,+/-89,0,+/-89,0,+/-89,76,+/-73,0,+/-89,0,+/-89,48,+/-46,7,+/-10
      Australia,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,851,+/-238,12,+/-19,0,+/-89,58,+/-48,0,+/-89,0,+/-89,18,+/-30,43,+/-51,22,+/-35,12,+/-14,59,+/-48,57,+/-71,0,+/-89,12,+/-18,43,+/-40,14,+/-21,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,39,+/-42,0,+/-89,0,+/-89,48,+/-46,7,+/-10
      Other Australian and New Zealand Subregion,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,149,+/-80,0,+/-89,11,+/-13,13,+/-20,0,+/-89,0,+/-89,0,+/-89,30,+/-36,35,+/-39,0,+/-89,33,+/-55,13,+/-28,0,+/-89,0,+/-89,0,+/-89,10,+/-16,8,+/-14,0,+/-89,0,+/-89,0,+/-89,0,+/-89,37,+/-62,0,+/-89,0,+/-89,0,+/-89,0,+/-89
    Fiji,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,1,+/-7,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,11,+/-16,0,+/-89,0,+/-89,0,+/-89,0,+/-89
"    Oceania, n.e.c.",,,0,,,+/-89,0,+/-89,0,+/-89,17,+/-30,0,+/-89,0,+/-89,97,+/-104,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,17,+/-28,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,22,+/-35,0,+/-89,0,+/-89,0,+/-89,0,+/-89
  Americas:,,,0,,,+/-89,256,+/-138,"11,859","+/-1,205","5,739",+/-601,"5,879",+/-870,"2,230",+/-510,"326,970","+/-4,341","35,336","+/-1,187","11,474","+/-1,211","5,773",+/-826,"16,397","+/-1,076",547,+/-214,"12,467","+/-1,058","9,086",+/-823,"8,968","+/-1,018",837,+/-250,"4,560",+/-640,"2,013",+/-494,858,+/-279,"1,440",+/-302,"2,054",+/-819,"8,265",+/-962,"1,217",+/-257,"19,012","+/-1,136",703,+/-148,186,+/-102,626,+/-203,"8,734","+/-1,092","3,971",+/-418,"7,335",+/-803,"12,701","+/-1,072","7,897",+/-822
    Latin America:,,,0,,,+/-89,234,+/-135,"11,848","+/-1,206","5,677",+/-599,"5,820",+/-874,"2,230",+/-510,"322,699","+/-4,319","35,335","+/-1,187","11,257","+/-1,179","5,360",+/-833,"16,224","+/-1,069",531,+/-214,"12,399","+/-1,055","8,984",+/-817,"8,658","+/-1,018",704,+/-254,"4,393",+/-626,"1,790",+/-466,844,+/-277,"1,335",+/-293,"1,931",+/-820,"7,978",+/-947,"1,102",+/-235,"18,773","+/-1,154",658,+/-141,123,+/-94,599,+/-203,"8,437","+/-1,055","3,963",+/-419,"7,300",+/-801,"12,377","+/-1,087","7,712",+/-814
      Caribbean:,,,0,,,+/-89,0,+/-89,262,+/-260,182,+/-115,195,+/-111,111,+/-108,"11,151","+/-1,134",291,+/-230,158,+/-80,"1,779",+/-443,85,+/-85,0,+/-89,191,+/-95,41,+/-34,509,+/-184,44,+/-28,"1,204",+/-383,231,+/-121,16,+/-20,291,+/-132,34,+/-49,196,+/-127,0,+/-89,874,+/-323,264,+/-117,17,+/-22,0,+/-89,328,+/-160,10,+/-15,980,+/-371,279,+/-142,152,+/-109
        Bahamas,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,12,+/-19,0,+/-89,111,+/-73,0,+/-89,0,+/-89,46,+/-42,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,5,+/-9,0,+/-89,0,+/-89,0,+/-89,17,+/-22,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,31,+/-48,0,+/-89,0,+/-89
        Barbados,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,197,+/-124,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,12,+/-16,0,+/-89,0,+/-89,0,+/-89,29,+/-20,0,+/-89,0,+/-89,0,+/-89,0,+/-89,16,+/-27,0,+/-89,65,+/-95,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,5,+/-7,18,+/-35,0,+/-89
        Cuba,,,0,,,+/-89,0,+/-89,232,+/-255,35,+/-56,21,+/-32,0,+/-89,"3,335",+/-543,131,+/-142,75,+/-55,12,+/-19,11,+/-17,0,+/-89,170,+/-94,25,+/-24,128,+/-79,23,+/-22,367,+/-130,123,+/-94,16,+/-20,35,+/-29,0,+/-89,92,+/-73,0,+/-89,299,+/-157,11,+/-17,0,+/-89,0,+/-89,145,+/-98,0,+/-89,2,+/-6,69,+/-61,0,+/-89
        Dominica,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,183,+/-129,0,+/-89,0,+/-89,11,+/-19,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,3,+/-8,0,+/-89,12,+/-17,42,+/-60,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
        Dominican Republic,,,0,,,+/-89,0,+/-89,18,+/-30,0,+/-89,0,+/-89,0,+/-89,"2,043",+/-663,160,+/-163,0,+/-89,24,+/-35,27,+/-39,0,+/-89,8,+/-12,0,+/-89,5,+/-9,12,+/-15,0,+/-89,0,+/-89,0,+/-89,29,+/-30,0,+/-89,0,+/-89,0,+/-89,74,+/-64,26,+/-45,0,+/-89,0,+/-89,90,+/-91,0,+/-89,0,+/-89,0,+/-89,34,+/-59
        Grenada,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,31,+/-36,0,+/-89,0,+/-89,13,+/-21,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
        Haiti,,,0,,,+/-89,0,+/-89,0,+/-89,88,+/-89,79,+/-78,46,+/-81,"1,840",+/-445,0,+/-89,29,+/-34,564,+/-259,0,+/-89,0,+/-89,1,+/-3,0,+/-89,117,+/-127,0,+/-89,425,+/-292,11,+/-17,0,+/-89,29,+/-43,0,+/-89,0,+/-89,0,+/-89,81,+/-75,71,+/-68,0,+/-89,0,+/-89,0,+/-89,10,+/-15,310,+/-236,170,+/-129,16,+/-26
        Jamaica,,,0,,,+/-89,0,+/-89,12,+/-18,51,+/-46,39,+/-53,65,+/-62,"2,707",+/-472,0,+/-89,23,+/-42,"1,109",+/-383,47,+/-58,0,+/-89,0,+/-89,0,+/-89,235,+/-131,4,+/-5,330,+/-208,86,+/-110,0,+/-89,169,+/-123,0,+/-89,79,+/-103,0,+/-89,303,+/-211,105,+/-82,17,+/-22,0,+/-89,52,+/-65,0,+/-89,474,+/-252,22,+/-34,61,+/-75
        St. Vincent and the Grenadines,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,32,+/-45,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,5,+/-20,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
        Trinidad and Tobago,,,0,,,+/-89,0,+/-89,0,+/-89,8,+/-14,32,+/-62,0,+/-89,390,+/-196,0,+/-89,31,+/-36,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,9,+/-13,0,+/-89,0,+/-89,11,+/-18,0,+/-89,12,+/-21,34,+/-49,6,+/-9,0,+/-89,40,+/-27,9,+/-17,0,+/-89,0,+/-89,0,+/-89,0,+/-89,158,+/-195,0,+/-89,41,+/-46
        West Indies,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,12,+/-19,0,+/-89,51,+/-66,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,53,+/-87,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89
        Other Caribbean,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,231,+/-164,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,16,+/-26,10,+/-16,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,41,+/-45,0,+/-89,0,+/-89,0,+/-89,0,+/-89
      Central America:,,,0,,,+/-89,132,+/-117,"11,158","+/-1,200","5,371",+/-599,"5,402",+/-832,"2,106",+/-506,"284,299","+/-4,421","34,168","+/-1,336","10,419","+/-1,162","2,964",+/-710,"15,432","+/-1,056",492,+/-212,"10,900","+/-1,086","8,303",+/-770,"7,081",+/-962,448,+/-240,"2,012",+/-456,"1,252",+/-434,530,+/-208,635,+/-176,"1,792",+/-814,"7,484",+/-950,975,+/-246,"17,430","+/-1,061",364,+/-112,56,+/-59,599,+/-203,"7,532","+/-1,047","3,705",+/-416,"6,229",+/-763,"11,003","+/-1,040","6,996",+/-767
        Mexico,,,0,,,+/-89,132,+/-117,"10,781","+/-1,193","5,292",+/-606,"5,265",+/-816,"1,980",+/-477,"261,260","+/-4,358","32,999","+/-1,408","9,784","+/-1,117","2,628",+/-697,"14,913","+/-1,071",449,+/-213,"10,164","+/-1,075","7,773",+/-754,"6,520",+/-919,304,+/-186,"1,538",+/-390,"1,097",+/-423,399,+/-177,467,+/-157,"1,642",+/-789,"6,818",+/-982,951,+/-243,"16,528","+/-1,095",296,+/-99,56,+/-59,549,+/-195,"6,759",+/-992,"3,510",+/-401,"5,894",+/-743,"10,604",+/-999,"6,747",+/-744
        Belize,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,26,+/-36,0,+/-89,"2,145",+/-505,1,+/-3,46,+/-49,169,+/-122,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,16,+/-26,7,+/-12,10,+/-17,42,+/-39,0,+/-89,24,+/-35,0,+/-89,0,+/-89,36,+/-41,15,+/-21,0,+/-89,0,+/-89,0,+/-89,0,+/-89,105,+/-69,0,+/-89,1,+/-5
        Costa Rica,,,0,,,+/-89,0,+/-89,44,+/-68,0,+/-89,0,+/-89,0,+/-89,605,+/-215,0,+/-89,12,+/-19,0,+/-89,0,+/-89,0,+/-89,20,+/-24,13,+/-22,0,+/-89,0,+/-89,93,+/-98,24,+/-37,0,+/-89,0,+/-89,0,+/-89,99,+/-168,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,44,+/-70,0,+/-89
        El Salvador,,,0,,,+/-89,0,+/-89,59,+/-66,46,+/-50,0,+/-89,0,+/-89,"3,064",+/-664,170,+/-184,193,+/-182,34,+/-35,316,+/-178,0,+/-89,184,+/-136,256,+/-226,393,+/-246,3,+/-7,36,+/-34,29,+/-47,81,+/-96,31,+/-37,0,+/-89,221,+/-178,0,+/-89,41,+/-48,0,+/-89,0,+/-89,2,+/-17,165,+/-149,98,+/-152,50,+/-50,172,+/-143,47,+/-63
        Guatemala,,,0,,,+/-89,0,+/-89,233,+/-142,33,+/-37,65,+/-61,126,+/-161,"12,215","+/-1,286",607,+/-272,135,+/-162,93,+/-60,104,+/-113,43,+/-53,500,+/-235,190,+/-147,109,+/-76,114,+/-148,260,+/-207,0,+/-89,8,+/-17,84,+/-76,30,+/-32,191,+/-153,0,+/-89,717,+/-268,38,+/-57,0,+/-89,48,+/-65,560,+/-513,52,+/-57,147,+/-116,183,+/-113,32,+/-40
        Honduras,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,46,+/-68,0,+/-89,"3,532",+/-575,225,+/-198,122,+/-140,40,+/-51,51,+/-62,0,+/-89,32,+/-36,19,+/-28,0,+/-89,0,+/-89,13,+/-21,20,+/-29,0,+/-89,7,+/-12,96,+/-134,27,+/-31,0,+/-89,82,+/-60,0,+/-89,0,+/-89,0,+/-89,23,+/-27,0,+/-89,0,+/-89,0,+/-89,78,+/-89
        Nicaragua,,,0,,,+/-89,0,+/-89,35,+/-57,0,+/-89,0,+/-89,0,+/-89,796,+/-252,166,+/-204,0,+/-89,0,+/-89,10,+/-16,0,+/-89,0,+/-89,52,+/-69,19,+/-31,0,+/-89,25,+/-27,39,+/-65,0,+/-89,0,+/-89,0,+/-89,48,+/-63,24,+/-39,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,23,+/-28,16,+/-26,0,+/-89,91,+/-64
        Panama,,,0,,,+/-89,0,+/-89,6,+/-9,0,+/-89,0,+/-89,0,+/-89,474,+/-178,0,+/-89,127,+/-108,0,+/-89,38,+/-60,0,+/-89,0,+/-89,0,+/-89,11,+/-17,11,+/-15,40,+/-42,33,+/-49,0,+/-89,12,+/-19,0,+/-89,80,+/-79,0,+/-89,14,+/-24,15,+/-26,0,+/-89,0,+/-89,25,+/-40,22,+/-36,0,+/-89,0,+/-89,0,+/-89
        Other Central America,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,208,+/-112,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,29,+/-55,0,+/-89,0,+/-89,0,+/-89,0,+/-89,34,+/-40,0,+/-89,0,+/-89,0,+/-89,12,+/-15,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,17,+/-28,0,+/-89,0,+/-89
      South America:,,,0,,,+/-89,102,+/-84,428,+/-194,124,+/-85,223,+/-174,13,+/-20,"27,249","+/-2,228",876,+/-515,680,+/-297,617,+/-248,707,+/-317,39,+/-59,"1,308",+/-502,640,+/-349,"1,068",+/-389,212,+/-95,"1,177",+/-399,307,+/-140,298,+/-169,409,+/-212,105,+/-67,298,+/-143,127,+/-86,469,+/-189,30,+/-33,50,+/-46,0,+/-89,577,+/-192,248,+/-85,91,+/-54,"1,095",+/-434,564,+/-229
        Argentina,,,0,,,+/-89,16,+/-24,0,+/-89,17,+/-28,0,+/-89,13,+/-20,"1,117",+/-265,70,+/-77,22,+/-27,185,+/-201,0,+/-89,0,+/-89,127,+/-120,74,+/-87,27,+/-31,30,+/-35,66,+/-66,130,+/-99,0,+/-89,82,+/-67,0,+/-89,39,+/-35,18,+/-35,50,+/-33,13,+/-20,0,+/-89,0,+/-89,62,+/-42,28,+/-31,0,+/-89,141,+/-99,47,+/-48
        Bolivia,,,0,,,+/-89,15,+/-24,11,+/-18,0,+/-89,0,+/-89,0,+/-89,450,+/-220,0,+/-89,38,+/-55,16,+/-25,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,32,+/-39,135,+/-105,0,+/-89,0,+/-89,37,+/-43,0,+/-89,6,+/-11,0,+/-89,36,+/-46,0,+/-89,0,+/-89,0,+/-89,64,+/-60,0,+/-89,0,+/-89,0,+/-89,0,+/-89
        Brazil,,,0,,,+/-89,0,+/-89,10,+/-17,0,+/-89,11,+/-18,0,+/-89,"1,613",+/-274,50,+/-83,12,+/-20,85,+/-58,12,+/-19,39,+/-59,11,+/-17,104,+/-59,14,+/-17,77,+/-63,92,+/-83,0,+/-89,57,+/-77,0,+/-89,23,+/-27,21,+/-24,16,+/-27,48,+/-49,0,+/-89,12,+/-19,0,+/-89,53,+/-51,72,+/-62,21,+/-26,77,+/-67,122,+/-129
        Chile,,,0,,,+/-89,0,+/-89,21,+/-34,9,+/-13,0,+/-89,0,+/-89,618,+/-200,0,+/-89,10,+/-18,43,+/-55,9,+/-15,0,+/-89,46,+/-55,29,+/-36,10,+/-15,0,+/-89,19,+/-23,0,+/-89,0,+/-89,77,+/-111,0,+/-89,62,+/-84,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,38,+/-46,0,+/-89,0,+/-89,55,+/-76,0,+/-89
        Colombia,,,0,,,+/-89,18,+/-29,161,+/-115,64,+/-52,65,+/-64,0,+/-89,"5,954",+/-941,315,+/-376,207,+/-157,113,+/-94,280,+/-184,0,+/-89,435,+/-317,108,+/-82,113,+/-75,28,+/-33,226,+/-154,84,+/-67,166,+/-131,54,+/-48,28,+/-36,47,+/-41,0,+/-89,33,+/-36,0,+/-89,0,+/-89,0,+/-89,138,+/-127,60,+/-50,29,+/-27,158,+/-103,130,+/-92
        Ecuador,,,0,,,+/-89,0,+/-89,86,+/-79,34,+/-54,0,+/-89,0,+/-89,"12,530","+/-1,495",211,+/-186,169,+/-126,86,+/-95,313,+/-237,0,+/-89,405,+/-164,281,+/-317,328,+/-224,7,+/-10,422,+/-344,43,+/-53,0,+/-89,12,+/-19,0,+/-89,39,+/-46,0,+/-89,224,+/-146,0,+/-89,0,+/-89,0,+/-89,93,+/-75,50,+/-54,10,+/-19,442,+/-403,165,+/-175
        Guyana,,,0,,,+/-89,7,+/-12,0,+/-89,0,+/-89,19,+/-26,0,+/-89,209,+/-101,0,+/-89,0,+/-89,16,+/-23,13,+/-21,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,52,+/-45,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,27,+/-23,15,+/-16,17,+/-26,0,+/-89,0,+/-89,0,+/-89,0,+/-89,24,+/-40,0,+/-89,15,+/-25
        Peru,,,0,,,+/-89,0,+/-89,105,+/-124,0,+/-89,70,+/-129,0,+/-89,"3,262",+/-661,205,+/-197,55,+/-51,73,+/-42,20,+/-31,0,+/-89,157,+/-180,0,+/-89,360,+/-217,16,+/-28,103,+/-84,21,+/-24,0,+/-89,91,+/-127,0,+/-89,14,+/-24,16,+/-25,14,+/-22,0,+/-89,13,+/-21,0,+/-89,107,+/-91,31,+/-41,7,+/-13,171,+/-131,73,+/-74
        Uruguay,,,0,,,+/-89,0,+/-89,16,+/-30,0,+/-89,58,+/-57,0,+/-89,307,+/-168,0,+/-89,71,+/-126,0,+/-89,0,+/-89,0,+/-89,10,+/-17,0,+/-89,0,+/-89,0,+/-89,32,+/-40,29,+/-32,0,+/-89,20,+/-39,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,25,+/-28,0,+/-89,0,+/-89,0,+/-89,0,+/-89,17,+/-30,0,+/-89
        Venezuela,,,0,,,+/-89,46,+/-72,18,+/-27,0,+/-89,0,+/-89,0,+/-89,636,+/-252,22,+/-35,96,+/-112,0,+/-89,60,+/-69,0,+/-89,116,+/-105,0,+/-89,47,+/-63,15,+/-18,30,+/-35,0,+/-89,50,+/-68,33,+/-39,17,+/-28,70,+/-76,33,+/-52,38,+/-64,0,+/-89,0,+/-89,0,+/-89,0,+/-89,7,+/-11,0,+/-89,0,+/-89,0,+/-89
        Other South America,,,0,,,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,0,+/-89,553,+/-224,3,+/-9,0,+/-89,0,+/-89,0,+/-89,0,+/-89,1,+/-2,44,+/-68,169,+/-205,7,+/-15,0,+/-89,0,+/-89,25,+/-38,3,+/-7,37,+/-49,0,+/-89,17,+/-26,11,+/-18,0,+/-89,0,+/-89,0,+/-89,22,+/-34,0,+/-89,0,+/-89,34,+/-35,12,+/-19
